sep=;
Question;Option A;Option B;Option C;Option D;Correct Answer;Explanation;Difficulty;Domain 
After deploying a new feature, users report seeing someone else's profile data in their accounts. What might be the underlying issue?;Insecure direct object references;Input validation errors;Improper session handling;Cross-site scripting;A;The issue likely stems from improper access control where the system exposes sensitive data by allowing users to access objects they should not allowed to access, known as insecure direct object references.;Easy;Applications Security
Your mobile app stores sensitive data on-device. Which method should you use to enhance data protection?;Plain text storage;Symmetric encryption;Asymmetric encryption;No encryption;B;Symmetric encryption ensures that the data is encrypted and can only be decrypted with a specific key, providing a layer of security against unauthorized access.;Easy;Applications Security
Which of the following is the best option to protect against SQL injection attacks in a web application?;Parameterizing queries;Using simple string concatenation;Implementing client-side filters;Disabling database error messages;A;Parameterizing queries ensures that user inputs are treated as data, not executable code, preventing SQL injection.;Easy;Applications Security
During a security audit, you discover that user passwords in your mobile app are hashed using MD5. What should be your immediate action?;Switch to SHA-256 immediately;Convert passwords to plain text storage;Add salt and re-hash with MD5;Implement bcrypt or Argon2 for hashing;D;MD5 is considered insecure, and switching to a more secure hashing algorithm such as bcrypt or Argon2 adds substantial resistance against brute-force attacks.;Medium;Applications Security
A web app starts serving malicious content after an update. What could be the attack vector?;Cross-Site Scripting (XSS);Cross-Site Request Forgery (CSRF);SQL Injection;Denial of Service (DoS);A;Cross-Site Scripting (XSS) allows an attacker to inject malicious scripts into content which can then be served to users.;Medium;Applications Security
A mobile app is leaking data due to weak API server-side checks. What should be strengthened?;Network firewall rules;API rate limiting;Input validation and access controls;Logging mechanisms;C;Strengthening input validation and access controls ensures that API endpoints correctly enforce security rules and prevent unauthorized data access.;Medium;Applications Security
Upon monitoring a high-traffic web application, frequent login failures are noted. What could this indicate?;Potential Distributed Denial of Service (DDoS);Credential stuffing attack;Network latency issues;Improper session management;B;Frequent login failures might indicate a credential stuffing attack where attackers use lists of stolen credentials attempting to gain unauthorized access.;Hard;Applications Security
Your mobile app uses third-party SDKs. How do you ensure they don't introduce vulnerabilities?;Rely on app store screening;Conduct static and dynamic analysis;Limit the number of SDKs used;Disable SDK features;B;Conducting static and dynamic analysis ensures that the SDKs donâ€™t contain unintentional vulnerabilities or malicious code.;Hard;Applications Security
A company experiences data tampering issues in an application secured with HTTPS. What additional measure should you consider?;Public-key pinning;Perfect Forward Secrecy;Content Security Policy (CSP);Digital signatures and checksums;D;Digital signatures and checksums can help verify the integrity and authenticity of the data to prevent tampering.;Hard;Applications Security
You are a mobile app developer working on a banking application. Which is the most secure method to ensure sensitive information like user credentials is safely stored on the device?;Store in plaintext within app storage;Use a secure server and fetch only when needed;Encrypt and store in Shared Preferences;Store in SQLite database without encryption;B;Using a secure server ensures sensitive data is not stored on the device, thus preventing local exploitation risks.; Easy; Applications Security
