sep=;
Question;Option A;Option B;Option C;Option D;Correct Answer;Explanation;Difficulty;Domain 
Setting up a cloud storage bucket policy to control access, what is the most important key consideration to prevent public exposure of sensitive data?;Making the bucket publicly accessible;Enabling role-based access control (RBAC);Disabling bucket policies entirely;Allowing read-only access to everyone;B;By implementing role-based access control (RBAC), users can ensure that only authorized users or services have access to specific resources, reducing the risk of data exposure.;Easy;Cloud Security
When migrating data to a cloud service, a company uses encryption. What is the primary benefit of encrypting data before transferring it to the cloud?;Reduction of storage costs;Ensuring data authenticity;Protection of data in transit;Improved access time;C;Encrypting data before transmitting it to the cloud protects it from being intercepted and accessed by unauthorized individuals during the transfer, ensuring confidentiality.;Easy;Cloud Security
A company wants to enforce a policy that ensures all its cloud-based applications automatically log user activity. What cloud service feature should they configure?;Virtual Private Network (VPN);Identity and Access Management (IAM);Centralized logging and monitoring;Service-Level Agreement (SLA);C;Centralized logging and monitoring allow organizations to automatically collect and analyze logs from cloud-based applications to ensure user activities are traceable, enhancing security compliance.;Easy;Cloud Security
After excessive failed login attempts are detected from a legitimate user's IP address, which cloud security measure should be prioritized to prevent unauthorized access?;Implementing a network firewall;Enabling multi-factor authentication (MFA);Updating antivirus software;Increasing password length requirement;B;Enabling multi-factor authentication (MFA) adds an extra layer of security, requiring users to provide additional verification, which helps prevent unauthorized access even if passwords are compromised.;Medium;Cloud Security
A business is evaluating the security of its serverless architecture and wants to mitigate risks associated with third-party dependencies. What is a critical security practice they should implement?;Using bigger serverless functions;Conducting a security assessment of external libraries;Reducing the number of API gateways;Ignoring exception handling errors;B;Conducting a security assessment of external libraries ensures any vulnerabilities in third-party dependencies are identified and mitigated, protecting serverless functions from potential threats.;Medium;Cloud Security
A cloud administrator needs to ensure compliance with data residency laws for an international enterprise. What actionable step should they take?;Use a single global data center;Mirror data across multiple continents;Store data in specific geographic regions;Enable automatic data migration;C;Storing data in specific geographic regions helps ensure compliance with local data residency laws that may require data to be stored within a particular country or region.;Medium;Cloud Security
Faced with a security breach in a cloud system, what step is critical to effectively reduce the risk of further exploitation of the same vulnerability?;Increase bandwidth;Enhance customer service;Apply automated patches and updates;Shut down all cloud services;C;Applying automated patches and updates ensures that vulnerabilities are promptly addressed, reducing the risk of repeated exploitation and improving overall security posture.;Hard;Cloud Security
How can organizations defend against Distributed Denial of Service (DDoS) attacks in a cloud environment?;Reducing the number of users;Hiring more IT staff;Implementing cloud-based DDoS protection services;Only operating during non-peak hours;C;Implementing cloud-based DDoS protection services helps mitigate the impact of attacks by distributing and absorbing traffic surges across a robust cloud infrastructure, maintaining service availability.;Hard;Cloud Security
A corporation suspects that an insider is leaking sensitive information stored in the cloud. What is an effective strategy for detecting and preventing such activities?;Limiting data uploads;Implementing Data Loss Prevention (DLP) tools;Inhibiting file sharing capabilities;Discontinuing cloud services;B;Implementing Data Loss Prevention (DLP) tools helps identify and prevent unauthorized data access and exfiltration, enabling organizations to detect and mitigate insider threats.;Hard;Cloud Security
As a cloud security administrator, you notice unauthorized access to your storage services on AWS. What immediate action should you take to secure your data?;Change the storage service's encryption keys;Enable MFA for your AWS root account;Review and update the bucket access policies;Perform a full audit of all cloud services;C;Review and update the bucket access policies immediately can help restrict unauthorized access and is a quick way to secure the data.;Easy;Cloud Security 
