sep=;
Question;Option A;Option B;Option C;Option D;Correct Answer;Explanation;Difficulty;Domain
You suspect steganography is used to hide data within JPEG files recovered from a system. Beyond basic detection, what technique focuses on analyzing statistical deviations in the Least Significant Bits across the image data to characterize potential hidden content?;File signature analysis;EXIF metadata parsing;Chi-square analysis or sample pair analysis;Differential Hash Analysis;C;Techniques like Chi-square or sample pair analysis examine the statistical properties of LSBs, as simple LSB replacement often disrupts natural image statistics, revealing hidden data patterns.;Medium;Digital Forensics
During analysis of a compromised Windows server, you need to find evidence of remote access via Remote Desktop Protocol. Beyond the Security Log, which specific Event Log source provides detailed information on RDP session establishment, disconnects, and reconnections?;System Log;Application Log;Microsoft-Windows-TerminalServices-LocalSessionManager/Operational;Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational;D;The RemoteDesktopServices-RdpCoreTS/Operational log contains detailed events specific to the RDP connection itself, including handshake, authentication protocols, and disconnection reasons, complementing the Security Log's logon events.;Medium;Digital Forensics
A client provides a laptop for investigation where unauthorized BitLocker encryption was enabled by a suspect. Standard forensic imaging is hindered. What is the most viable initial approach to potentially access and image the drive's data?;Attempt recovery using known BitLocker recovery keys from Active Directory or user backups;Perform a chip-off forensic extraction of the drive's controller;Use cold boot attack techniques to recover keys from RAM if the machine is running;Brute-force the BitLocker password using specialized hardware;A;Before resorting to complex hardware attacks, standard procedure is to exhaust possibilities of obtaining legitimate recovery keys (often stored in AD, Azure AD, Microsoft accounts, or saved by users).;Medium;Digital Forensics
Network analysis reveals sustained, low-volume DNS queries for TXT records of seemingly random subdomains under an attacker-controlled domain, originating from a compromised server. What is this pattern most strongly indicative of?;Legitimate use of DNS Service Discovery;Data exfiltration using DNS tunneling where data is encoded in TXT query subdomains;Distributed Denial of Service amplification using DNS resolvers;Authoritative DNS server synchronization issues;B;Encoding data into subdomains queried for TXT records is a common technique for DNS tunneling, especially for stealthy exfiltration, as TXT records allow larger data payloads compared to A or AAAA records.;Hard;Digital Forensics
You are analyzing an NTFS formatted hard drive from a system where a user allegedly deleted critical files just before seizure. TRIM commands may have been issued if it was an SSD. Which forensic artifact should be prioritized to identify file deletion activity, even if the file data itself is unrecoverable?;Volume Shadow Copies;The NTFS $LogFile;Master File Table entries marked as unused;Unallocated clusters scan;C;The Master File Table contains records for all files. When a file is deleted, its MFT entry is marked as unused but often remains, retaining metadata like original name and timestamps, directly indicating deletion activity even if data/logs are gone.;Medium;Digital Forensics
An insider is suspected of slowly leaking proprietary source code over several weeks. Logs show the user accessed the code repository normally. What forensic analysis technique might reveal the subtle data transfer, potentially bypassing standard DLP network monitoring?;Analyzing USB connection artifacts for unauthorized storage;Correlating file access times with unusual process execution or network activity spikes to non-standard ports;Conducting linguistic analysis on the employee's external emails;Reviewing web browsing history for visits to pastebin-like sites;B;Correlating legitimate file access with abnormal subsequent activity (e.g., running a custom encryption/exfil tool, short bursts of traffic to odd ports/IPs) can uncover hidden data staging or transfer actions.;Hard;Digital Forensics
Forensic acquisition of a modern Android device using File-Based Encryption is attempted. While a logical extraction is possible, what specific limitation does this encryption impose on obtaining a complete filesystem image compared to older Full Disk Encryption?;Inability to decrypt data without the user's passcode;Encryption keys are tied to the hardware Secure Enclave, preventing offline access;Individual files remain encrypted until the user unlocks the phone after first boot, limiting Before First Unlock acquisition;Data is automatically wiped after 10 failed passcode attempts;C;With File-Based Encryption, files are encrypted with keys that only become available after the user provides their passcode post-boot. This restricts access to much of the filesystem data if the device is acquired in a Before First Unlock state.;Hard;Digital Forensics
Analyzing a large email dataset in a fraud investigation, you observe emails between two suspects with unusually sparse content but consistent timing and specific attachment types. What analytical approach is best suited to quantify the anomaly of this communication pattern compared to baseline behavior?;Keyword frequency analysis across all emails;Manual review of the suspect emails by a fraud expert;Social network analysis combined with temporal and metadata feature anomaly detection;Phishing detection algorithm scoring;C;Social network analysis maps relationships, while anomaly detection algorithms analyze features like timing, attachment types/sizes, and content length relative to normal communication patterns, effectively flagging statistically improbable interactions.;Hard;Digital Forensics
Following a web application breach involving SQL injection, the database server's general query log was disabled. However, the database uses transaction logging for recovery. Which artifact, if accessible, could potentially allow reconstruction of the malicious SQL statements executed?;Web server access logs showing POST requests;Database transaction log backups;Web Application Firewall event logs detailing blocked attempts;In-memory process dump of the database server process;B;Database transaction logs record the changes made to the database, often including the SQL statements (or enough information to infer them) responsible for those changes, crucial for recovery and forensic analysis.;Hard;Digital Forensics
An internal audit requires verifying that only authorized administrators accessed sensitive configuration files on multiple Linux servers over the past month. Which technology provides the most targeted and efficient way to achieve this across the fleet?;Deploying a host-based intrusion detection system on each server;Configuring and centralizing Linux Auditd logs with rules monitoring specific file access events;Using rsync to periodically compare file hashes against a known-good baseline;Analyzing sudo logs from each server individually;B;Linux Auditd allows granular rule creation to log specific events, such as read/write/attribute changes on critical files, and identify the user performing the action. Centralizing these logs enables efficient cross-system auditing.;Medium;Digital Forensics
