sep=;
Question;Option A;Option B;Option C;Option D;Correct Answer;Explanation;Difficulty;Domain
A system administrator notices unusual outbound network traffic patterns from a critical Windows server, suspecting an advanced persistent malware infection. What is the most appropriate immediate action that balances containment with evidence preservation?;Run a full system backup immediately.;Capture live network traffic using a packet analyzer, then isolate the server NIC.;Disconnect the server physically from the network.;Reboot the server into safe mode with networking disabled.;B;Capturing live traffic first preserves volatile network evidence before disconnecting the server prevents further malicious communication or spread.;Medium;Operating Systems Security
A user reports that their Linux system is performing sluggishly, and top reveals several unknown processes consuming CPU, but none associated with a controlling terminal (TTY). Which command sequence is most effective for tracing the parentage and details of these potentially detached malicious processes?;ps aux | grep <process_name>;ps -ejH | grep '?';lsof -p <PID>;kill -9 <PID>;B;ps -ejH displays all processes (e), includes environment (j), and shows the process hierarchy (H). Grepping for '?' in the TTY column helps filter for processes without a controlling terminal, aiding in identifying potentially rogue detached processes.;Medium;Operating Systems Security
During a security audit of macOS systems, the policy requires enforcing the principle of least privilege, even for tasks requiring elevation. What is the most robust method to ensure administrators only run specific, pre-approved commands via sudo, log their output, and prevent trivial privilege escalation like shell escapes?;Grant standard users temporary admin rights via profiles.;Configure the /etc/sudoers file with specific command aliases, require tty_tickets, and use LOG_OUTPUT. ;Rely on user training and Acceptable Use Policies.;Implement a third-party privilege access management (PAM) solution.;B;Configuring sudoers precisely with command aliases restricts what can be run, tty_tickets requires re-authentication per terminal, and LOG_OUTPUT logs command activity, providing granular control and auditing within macOS's native capabilities.;Hard;Operating Systems Security
A company uses a centralized SIEM for log collection from Linux servers using syslog-ng. The security team notices intermittent but significant delays in log arrival from several key servers during peak hours. Initial checks show no packet loss between servers and the SIEM. What is the most likely bottleneck causing the delay?;Insufficient disk space on the SIEM collector.;Syslog-ng flow-control settings being triggered due to processing limitations.;Network bandwidth saturation between server sites.;Incorrect timestamp synchronization (NTP) between servers and SIEM.;B;Syslog-ng has flow-control mechanisms (log_fifo_size, flow-control) that can throttle message sending if the destination (SIEM) or intermediate relays can't process logs fast enough, causing delays even without network packet loss.;Hard;Operating Systems Security
An administrator must ensure the integrity of critical configuration files and system binaries on a Windows server, detecting any unauthorized modifications promptly. Which built-in Windows feature or technology is best suited for this specific purpose?;Windows Resource Monitor;System Configuration (msconfig);File Integrity Monitoring using System Center Operations Manager (SCOM) or Windows Defender ATP features;Windows Event Log Forwarding;C;While third-party tools exist, native solutions like SCOM's FIM module or advanced features in Windows Defender ATP are specifically designed to monitor file hashes or attributes and alert on unauthorized changes to critical files.;Hard;Operating Systems Security
A security analyst reviewing firewall logs for a Linux web server identifies persistent, sophisticated SQL injection attempts from a specific IP address block, bypassing basic WAF rules. What is the most effective next step to mitigate this targeted attack?;Implement rate limiting for all HTTP requests.;Block the entire offending IP address block using iptables or firewalld.;Tune the Web Application Firewall (WAF) rules to specifically detect and block the observed injection patterns.;Contact the ISP owning the IP block to report the abuse.;C;While blocking the IP (B) is an immediate fix, it might block legitimate users if the range is large or shared. Tuning the WAF (C) addresses the specific attack vector more precisely and adaptively, offering better long-term protection against similar evolving attacks.;Medium;Operating Systems Security
A macOS server, acting as a build agent, has been potentially compromised. Analysis suggests an unauthorized kernel extension (kext) might be active, masking its presence. Which native macOS command-line tool is most effective for listing all currently loaded kernel extensions, including potentially suspicious third-party ones, for further analysis?;system_profiler SPExtensionsDataType;kextstat;launchctl list;dscl . -list /Users;B;kextstat is the primary command-line utility on macOS specifically designed to display the status of kernel extensions currently loaded in the operating system, essential for identifying unauthorized kexts.;Medium;Operating Systems Security
An organization needs to provide secure remote command-line access to its fleet of Linux servers for administrators, ensuring non-repudiation and preventing credential theft. Which authentication method for SSH offers the highest level of security in this context?;Password authentication with complex passwords.;Host-based authentication.;SSH key-based authentication using ED25519 keys protected by strong passphrases.;Multi-factor authentication (MFA) combining SSH keys with TOTP.;D;While strong SSH keys (C) are very secure, combining them with a second factor like Time-based One-Time Passwords (TOTP) via PAM modules provides MFA, offering the highest resistance against key compromise and enhancing non-repudiation.;Hard;Operating Systems Security
A company's security policy mandates periodic verification of critical system binary integrity across their Windows Server fleet to detect tampering or rootkits. Which native Windows command-line tool provides the most direct method for generating cryptographic hashes of these files for comparison against known-good values?;certutil -hashfile <filename> SHA256;sfc /scannow;chkntfs C:;sigverif;A;certutil -hashfile allows generation of various cryptographic hashes (like SHA256) for any file, enabling direct comparison with baseline hashes. sfc checks against cached versions, sigverif checks driver signatures, chkntfs checks disk flags.;Medium;Operating Systems Security
You discover a suspicious background process running as root on a Linux server, consuming minimal CPU but holding open network sockets to unusual external IPs. Which command should be your first step to gather detailed information about the process's open files and network connections without terminating it?;strace -p <PID>;kill -STOP <PID>;lsof -p <PID>;gdb attach <PID>;C;lsof -p <PID> (List Open Files) specifically shows all files and network sockets opened by the process identified by <PID>, providing immediate insight into its activity without interrupting its execution (unlike kill or potentially strace/gdb).;Medium;Operating Systems Security
