sep=;
Question;Option A;Option B;Option C;Option D;Correct Answer;Explanation;Difficulty;Domain 
What is the primary purpose of role-based access control (RBAC) in an organization?;To increase network speed;To restrict access based on user roles;To encrypt user data;To manage software licenses;B;RBAC is designed to limit access to systems and information based on the roles an individual has within an organization, enhancing security and compliance.;Easy;IAM
What feature does multi-factor authentication (MFA) provide that password-only authentication does not?;Single sign-on capability;Physical location tracking;Additional security layer;Automatic password recovery;C;MFA adds an extra layer of security by requiring users to provide two or more verification factors to gain access, making it harder for unauthorized entities to access systems.;Easy;IAM
Which of the following is NOT a benefit of using OAuth 2.0 for authorization?;Improved scalability;Avoiding password exposure;User accountability enforcement;Third-party application integration;C;OAuth 2.0 focuses on authorization, allowing third-party services to exchange tokens without exposing user passwords, but it does not specifically enforce user accountability.;Easy;IAM
How can an organization quickly revoke access to systems across all applications if a user is found to be compromised?;Delete their account;Change the central password policy;Revoke all session tokens and certificates;Implement stricter firewall rules;C;Revoking session tokens and certificates immediately cuts off access and is the most efficient way to ensure that compromised accounts can't misuse access across multiple applications.;Medium;IAM
In a mobile application using OpenID Connect, which component typically handles user authentication and provides an ID token?;Mobile application;Identity Provider;API Gateway;User Agent;B;The Identity Provider is responsible for authenticating the user and issuing an ID token in OpenID Connect flows, which is then used by the application to access resources.;Medium;IAM
Which of the following scenarios might indicate a need for privilege management reform in an enterprise environment?;All employees have a single role assigned;Privileges are reviewed monthly;Users gain additional permissions with tenure;Access errors are frequently reported;D;Frequent access errors might indicate over-provisioned access rights, meaning privilege management policies should be reviewed to ensure users only have necessary permissions.;Medium;IAM
In an organization using SAML for single sign-on (SSO), where is the Assertion typically created?;Service Provider;Resource Owner;Identity Provider;Authorization Server;C;In SAML, the Assertion is created by the Identity Provider, which contains the authentication statements and is used to establish the user's identity with the Service Provider.;Hard;IAM
An urgent security audit reveals that API tokens are not being stored securely. What is an immediate action to improve the security of these tokens?;Minimize token expiration time;Encrypt tokens with a strong method;Share API tokens via email securely;Increase the length of API tokens;B;Encrypting API tokens with a strong encryption method will protect them from unauthorized access should they be intercepted or accessed inadvertently.;Hard;IAM
During a security incident, you are asked to verify the authenticity of a bearer token received by a web service. Which is the best approach to validate it?;Check the token for its expiration date;Compare the token against previously issued tokens;Use the token's signature and the known public key;Reissue a new token for safe measure;C;Checking the token's signature against the known public key ensures its authenticity and integrity, confirming that it was issued by a trusted authority.;Hard;IAM
A company wants to enhance its user authentication process for accessing sensitive data by adding an extra layer of security. Which of the following is the best approach to achieve this?; Use complex passwords; Implement IP whitelisting; Enable Multi-Factor Authentication (MFA); Enforce periodic password changes; C; Multi-Factor Authentication provides an extra layer of security by requiring more than one method of authentication, reducing the risk of unauthorized access, even if passwords are compromised.; Easy;IAM
In Role-Based Access Control (RBAC), what is the primary purpose of assigning roles to users?; To provide a personalized interface; To minimize administrative overhead; To enforce session timeouts; To restrict access to a single user only; B; RBAC minimizes administrative overhead by defining user privileges based on their role within an organization, facilitating easier management and scaling of permissions.; Easy;IAM
Which authentication protocol is commonly used for single sign-on (SSO) solutions, allowing users to authenticate once and gain access to multiple applications?; SSH; TLS; SAML; SNMP; C; Security Assertion Markup Language (SAML) is widely used for single sign-on solutions, allowing secure exchanges of authentication and authorization data between the identity provider and service providers.; Easy;IAM
An organization needs to implement an authorization framework that allows its applications to access user data from other applications without revealing the user's credentials. Which protocol should they use?; Kerberos; OAuth; RADIUS; PAP; B; OAuth is an open standard for access delegation, commonly used to grant websites or applications limited access to user information without exposing passwords.; Medium;IAM
What key advantage does OpenID Connect provide over OAuth 2.0 in terms of authentication?; More security policies; It is simpler to implement; It includes an identity layer and ID tokens; It supports more programming languages; C; OpenID Connect, an identity layer on top of OAuth 2.0, introduces ID tokens which enable verifying the user's identity in addition to obtaining user authorization.; Medium;IAM
An enterprise network admin decides to use Privileged Access Management (PAM) systems. What is the main benefit of including PAM in their security strategy?; Increase operational costs; Simplify network topology; Enhance control over high-risk accounts; Ensure remote access for all users; C; Privileged Access Management systems provide enhanced control over high-risk accounts by monitoring, managing, and securing privileged access across the enterprise.; Medium;IAM
During a security review, a company realizes that APIs intended for public use are exposing too much data. Which IAM strategy will most effectively mitigate this issue?; Limit API requests based on IP address; Implement RBAC; Enforce strict rate limiting; Use API gateways with OAuth scopes; D; API gateways with OAuth scopes allow organizations to control what data and operations are exposed through APIs by assigning specific scopes to each application, thereby ensuring precise access control.; Hard;IAM
A software development team is tasked with ensuring their mobile application uses secure authentication flows. What is a primary security concern when implementing OAuth 2.0 on mobile devices?; Backend server appears offline; Device battery consumption increases; Access tokens stored insecurely.; Reduced application performance; C; On mobile devices, it's crucial to securely store access tokens since they provide ongoing access to the server. Insecurity can result in token leakage and potential exploitation.; Hard;IAM
During integration between different applications, a security architect notes the need for identity verification without direct access to user credentials. Which standard allows this kind of verification process?; HTTP Digest Authentication; LDAP; JSON Web Tokens (JWT); Challenge-Response; C; JSON Web Tokens (JWT) is a compact, URL-safe means of representing claims to be transferred between two parties, commonly used for authenticating requests and session handling.; Hard;IAM
What is the primary benefit of implementing Role-Based Access Control (RBAC) in an organization?;Reduces the need for regular audits;Limits excessive user access;Increases individual accountability;Speeds up login procedures;B;RBAC helps prevent over-provisioning of permissions by assigning users to roles based on their job responsibilities, thereby limiting access to only the information and resources necessary.;Easy;IAM
Which of the following is an example of a second factor in a multi-factor authentication (MFA) setup?;PIN number;Password;Security question answer;Biometric scan;D;A biometric scan, such as a fingerprint or facial recognition, is a common second factor used in MFA to add an additional layer of security.;Easy;IAM
Which OAuth 2.0 component is responsible for granting time-limited access to a resource?;Access token;Authorization code;Refresh token;Secure token;A;The access token is a credential used to access protected resources and is typically time-limited to enhance security.;Easy;IAM
A company wants to integrate Google sign-in for their web application. Which protocol should they implement to authenticate users?;X.509;OAuth 2.0;SAML;OpenID Connect;D;OpenID Connect is an identity layer on top of OAuth 2.0 used for authenticating users, including through social sign-ins like Google.;Medium;IAM
