sep=;
Question;Option A;Option B;Option C;Option D;Correct Answer;Explanation;Difficulty;Domain 
A system administrator notices unusual network traffic and suspects a potential malware infection on a Windows server. What would be the most immediate action to confirm and stop the malware activity?;Run a full system backup.;Use a network packet analyzer to capture the traffic.;Disconnect the server from the network.;Reboot the server into safe mode.;C;Disconnecting the server can help prevent the spread and further communications of the malware.;Easy;Operating Systems Security
A user reports that their Linux system is running very slowly and notices several unknown processes consuming resources. Which command should the administrator use first to list all running processes and their resource usage?;top;xkill;traceroute;ipconfig;A;The 'top' command provides a dynamic view of system processes sorted by resource usage, which can help identify performance issues.;Easy;Operating Systems Security
During a security audit of macOS systems, it is noted that multiple users have admin privileges, increasing the risk of privilege abuse. What is the most effective way to mitigate this risk while still allowing necessary administrative actions?;Remove all admin privileges from users.;Implement sudo access for admin tasks.;Only allow admin logins on the primary workstation.;Use an external firewall to control admin actions.;B;Using 'sudo' allows users to perform admin tasks without granting full admin privileges, reducing security risks.;Easy;Operating Systems Security
A company uses a centralized logging solution, but the security team notices delayed log collection from Linux servers. What is one of the first steps to troubleshoot and resolve this issue?;Upgrade all server hardware.;Check for network latency or connectivity issues.;Reinstall the operating system on all servers.;Clear all current logs to free up space.;B;Network latency or connectivity issues could delay log transmission, addressing these can improve log collection speed.;Medium;Operating Systems Security
An administrator must ensure the integrity of critical files on a Windows server. Which tool can help track and alert on unauthorized changes to these files?;Windows Event Viewer;System Configuration (msconfig);File Integrity Monitoring (FIM) tools;Windows Media Player;C;File Integrity Monitoring tools are designed to detect and alert on unauthorized changes to files, enhancing security.;Medium;Operating Systems Security
A security analyst is reviewing access logs on a Linux server and identifies repeated failed login attempts from a foreign IP. What is an appropriate immediate action to mitigate this ongoing attack?;Notify the ISP of the foreign IP.;Block the IP address using a firewall rule.;Ignore the attempts as unsuccessful.;Upgrade the server to the latest OS version.;B;Blocking the IP address with a firewall can prevent further unauthorized access attempts.;Medium;Operating Systems Security
A macOS server has been compromised, and an unauthorized rootkit is suspected. What advanced security tool can be used to detect and analyze rootkits or unauthorized kernel extensions on macOS?;Activity Monitor;Little Snitch;RootkitRevealer;OSQuery;D;OSQuery can be used to identify unauthorized kernel extensions by querying system information at an advanced level, useful in rootkit detection.;Hard;Operating Systems Security
An organization needs to ensure secure remote access to their Linux systems for maintenance. Which solution would most effectively achieve this goal?;Use unencrypted telnet for simplicity.;Implement Secure Shell (SSH) with key-based authentication.;Allow remote desktop access for all users.;Enable anonymous FTP access.;B;SSH with key-based authentication offers a secure remote access method, protecting against eavesdropping and unauthorized access.;Hard;Operating Systems Security
A company's security policy requires tracking the integrity of system binaries on a Windows environment. Which approach would provide the most direct verification of file integrity?;Daily backup of system files.;User access control settings.;Use of cryptographic hash algorithms.;Regular server restarts.;C;Using cryptographic hash algorithms allows verification of file integrity by comparing current hashes to known safe values.;Hard;Operating Systems Security
You discover a suspicious process consuming excessive CPU resources on a Linux server. Which of the following could be your first step to investigate?;Use the 'ps' command to list all processes and identify the PID;Restart the server to stop all processes;Disable the network interface to isolate the server;Immediately terminate the process using the 'kill' command;A;Using the 'ps' command helps identify the process without altering the server state, which provides valuable information for further investigation.;Easy;Operating Systems Security
As a system administrator, you are asked to implement basic firewall rules in a Windows environment using the built-in firewall. What is the simplest way to achieve this?;Use 'gpedit.msc' to configure firewall rules;Use 'powershell' scripts to manually create rules;Use the Windows Firewall with Advanced Security GUI to set up rules;Install third-party firewall software for more options;C;The Windows Firewall with Advanced Security provides a user-friendly interface to create and manage firewall rules.;Easy;Operating Systems Security
You receive an alert of repeated failed login attempts from the same IP on a company macOS machine. Which action should you take first?;Block the IP using a firewall rule;Investigate the logs to understand the pattern of attempts;Shut down the machine to prevent further access;Reset the passwords of all accounts;B;Investigating the logs helps determine the nature of the failed attempts and informs subsequent actions.;Easy;Operating Systems Security
