model_name,dataset_name,accuracy,duration_seconds,confidence_interval_low,confidence_interval_high,number_of_executions,model
OpenAI: GPT-4o,Applications Security,97.53,1.96,91.44,99.32,3,GPT-4o
OpenAI: GPT-4o-mini,Applications Security,98.77,1.42,93.33,99.78,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Applications Security,92.59,9.95,84.77,96.56,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Applications Security,93.83,2.27,86.35,97.33,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Applications Security,96.3,29.81,89.67,98.73,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Applications Security,96.3,1.66,89.67,98.73,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Applications Security,100.0,2.62,95.47,100.0,3,Grok 3
xAI: Grok 3 Mini Beta,Applications Security,97.53,11.36,91.44,99.32,3,Grok 3 Mini
Mistral Large 2411,Applications Security,96.3,12.43,89.67,98.73,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Applications Security,95.06,4.01,87.98,98.06,3,Mistral Small 3.1
OpenAI: GPT-4o,Cloud Security,100.0,3.65,95.47,100.0,3,GPT-4o
OpenAI: GPT-4o-mini,Cloud Security,100.0,4.35,95.47,100.0,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Cloud Security,96.3,7.18,89.67,98.73,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Cloud Security,100.0,2.55,95.47,100.0,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Cloud Security,92.59,20.47,84.77,96.56,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Cloud Security,100.0,6.3,95.47,100.0,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Cloud Security,100.0,2.28,95.47,100.0,3,Grok 3
xAI: Grok 3 Mini Beta,Cloud Security,96.3,35.91,89.67,98.73,3,Grok 3 Mini
Mistral Large 2411,Cloud Security,100.0,23.28,95.47,100.0,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Cloud Security,100.0,4.32,95.47,100.0,3,Mistral Small 3.1
OpenAI: GPT-4o,Cryptography,100.0,2.02,95.47,100.0,3,GPT-4o
OpenAI: GPT-4o-mini,Cryptography,97.53,4.06,91.44,99.32,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Cryptography,93.83,2.71,86.35,97.33,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Cryptography,100.0,2.32,95.47,100.0,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Cryptography,100.0,57.36,95.47,100.0,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Cryptography,96.3,1.51,89.67,98.73,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Cryptography,100.0,6.42,95.47,100.0,3,Grok 3
xAI: Grok 3 Mini Beta,Cryptography,100.0,6.7,95.47,100.0,3,Grok 3 Mini
Mistral Large 2411,Cryptography,97.53,19.25,91.44,99.32,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Cryptography,96.3,7.47,89.67,98.73,3,Mistral Small 3.1
OpenAI: GPT-4o,Digital Forensics,92.59,4.53,84.77,96.56,3,GPT-4o
OpenAI: GPT-4o-mini,Digital Forensics,87.65,2.77,78.74,93.15,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Digital Forensics,92.59,3.32,84.77,96.56,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Digital Forensics,82.72,2.21,73.05,89.42,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Digital Forensics,91.36,48.07,83.22,95.75,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Digital Forensics,93.83,3.89,86.35,97.33,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Digital Forensics,96.3,9.88,89.67,98.73,3,Grok 3
xAI: Grok 3 Mini Beta,Digital Forensics,88.89,8.76,80.21,94.04,3,Grok 3 Mini
Mistral Large 2411,Digital Forensics,90.12,11.23,81.7,94.91,3,Mistral Large 2411
